KODE,NAMA BAHAN,BERAT STANDAR,BDD,AIR,ENERGI,PROTEIN,LEMAK,KH,SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,BKAR,KARTOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,HARGA PER-BERAT STANDAR
GP054,Abon ikan,100.0,100.0,6.4,435.0,27.2,20.2,36.1,,10.1,,,,,,,,,,,,0.8,24.3,,0
DR001,"Akar tonjong, segar",100.0,100.0,86.7,45.0,1.1,0.4,10.8,1.2,1.0,72.0,125.0,1.3,96.0,1147.1,0.0,0.2,0.0,83.0,90.0,0.0,0.0,1.9,2.0,0
DR002,"Ale,toge, segar",100.0,90.0,90.6,37.0,4.4,0.5,3.8,1.7,0.7,50.0,248.0,2.0,2.0,105.0,0.2,0.4,0.0,0.0,35.0,0.0,0.1,0.6,46.0,0
ER001,"Alpukat, segar",100.0,61.0,84.3,85.0,0.9,6.5,7.7,,0.6,10.0,20.0,0.9,2.0,278.0,0.2,0.4,,189.0,180.0,0.1,0.1,1.0,13.0,0
AP026,Amparan tatak,100.0,100.0,58.4,191.0,1.3,5.5,34.0,,0.8,,,,,,,,,,,,,,,0
CP015,Ampas kacang hijau,100.0,100.0,70.6,96.0,3.7,0.6,19.1,2.7,0.6,133.0,150.0,1.3,,,,,,,,0.1,,,,0
CP017,Ampas tahu kukus,100.0,100.0,82.5,75.0,4.1,2.1,10.7,5.1,0.6,203.0,60.0,1.3,,,,,,0.0,,0.1,,,,0
CP018,"Ampas tahu, kering",100.0,100.0,9.0,414.0,26.6,18.3,41.3,0.0,5.8,19.0,29.0,4.0,45.0,1055.7,1.0,2.8,0.0,24.0,,0.2,0.1,0.5,0.0,0
CP016,"Ampas tahu, mentah",100.0,100.0,84.1,67.0,5.0,2.1,8.1,4.1,0.6,460.0,88.0,1.0,8.0,184.5,0.2,0.5,,0.0,,0.1,0.0,0.1,,0
FR001,"Anak sapi, daging, gemuk, segar",100.0,100.0,62.0,184.0,18.8,14.0,0.0,0.0,5.2,10.0,200.0,2.2,118.0,490.1,0.2,3.3,12.0,37.0,,0.1,0.2,7.0,,0
FR002,"Anak sapi, daging, kurus, segar",100.0,100.0,69.0,174.0,19.6,10.0,0.0,0.0,1.4,11.0,201.0,2.9,96.0,399.8,0.1,2.7,6.0,30.0,,0.1,0.1,5.7,0.0,0
FR003,"Anak sapi, daging, sedang, segar",100.0,100.0,68.0,190.0,19.1,12.0,0.0,0.0,0.9,11.0,193.0,2.9,99.0,412.7,0.1,2.8,12.0,83.0,,0.1,0.2,5.9,0.0,0
DR003,"Andaliman, segar",100.0,100.0,74.2,99.0,4.6,1.0,18.0,8.5,2.2,383.0,107.0,2.9,,,,,0.0,,6300.0,3.0,,,15.0,0
DR004,"Andewi, segar",100.0,80.0,91.8,226.0,1.6,0.2,5.3,4.1,1.1,33.0,66.0,1.0,29.0,414.6,0.1,1.0,,1717.0,,0.1,0.1,0.5,10.0,0
ER002,"Anggur hutan, segar",100.0,100.0,92.3,30.0,0.5,0.2,6.8,1.2,0.2,39.0,12.0,1.1,,,,,0.0,,1.0,0.0,,,3.0,0
FR004,"Angsa, daging, segar",100.0,60.0,51.1,349.0,16.4,31.5,0.0,0.0,1.0,15.0,188.0,1.8,71.0,299.2,0.3,1.7,273.0,0.0,,0.1,0.2,7.1,0.0,0
DP023,"Anyang, sayur",100.0,100.0,76.9,126.0,3.4,7.9,10.3,5.4,1.5,180.0,1.0,2.9,290.0,181.0,0.3,1.2,,3263.0,,0.2,,,,0
AP027,"Apang kukus, kue",100.0,100.0,49.5,202.0,3.0,0.3,46.7,,0.5,,,,,,,,,,,,,,,0
ER003,"Apel malang, segar",100.0,88.0,85.9,57.0,0.5,0.4,12.8,0.8,0.3,9.0,18.0,0.6,3.6,175.4,110.2,0.0,,26.0,2240.0,0.1,0.0,0.1,5.0,0
ER004,"Apel, segar",100.0,88.0,84.1,58.0,0.3,0.4,14.9,2.6,0.3,6.0,10.0,0.3,2.0,130.0,124.2,0.3,,30.0,90.0,0.0,0.0,0.1,5.0,0
AP028,"Apem, kue",100.0,100.0,63.1,148.0,2.0,0.5,33.9,,0.5,,,,,,,,,,,,,,,0
ER005,"Arbai, segar",100.0,96.0,89.9,37.0,0.8,0.5,8.3,,0.5,28.0,27.0,0.8,2.0,43.0,63.5,18.9,,2.0,60.0,0.0,0.0,0.1,60.0,0
DP024,"Ares, sayur",100.0,100.0,77.7,113.0,0.9,7.2,11.2,4.7,3.0,63.0,5.0,1.5,1413.0,1030.0,0.7,3.8,,6.0,,0.1,,0.5,,0
BR001,"Arrowroot, segar",100.0,100.0,73.5,102.0,1.0,0.2,24.1,1.7,1.2,28.0,35.0,1.7,36.0,626.6,0.2,0.8,0.0,15.0,0.0,0.1,0.1,2.3,2.0,0
DP025,Arwan sirsir,100.0,100.0,59.0,277.0,2.4,25.0,10.7,4.6,2.9,120.0,40.0,2.4,240.0,320.0,0.2,0.9,,1578.0,,0.1,0.2,0.0,11.0,0
NR001,"Asam arang coklat, segar",100.0,100.0,66.1,130.0,0.5,1.1,30.9,1.5,1.4,79.0,113.0,4.3,13.0,,0.0,,,745.0,0.0,0.0,0.2,0.0,0.0,0
NR002,"Asam arang merah, segar",100.0,100.0,75.9,99.0,0.8,1.6,20.3,2.8,1.4,69.0,300.0,4.6,2.0,96.0,0.0,0.1,,529.0,0.0,0.0,0.3,1.6,0.0,0
NR004,"Asam kandis, segar",100.0,100.0,81.5,75.0,0.2,1.1,16.1,3.4,1.1,63.0,139.0,2.5,93.0,93.0,0.1,0.1,,41.0,0.0,0.0,0.0,0.1,0.0,0
NR005,"Asam masak pohon, segar",100.0,48.0,31.4,267.0,2.8,0.6,62.5,1.2,2.7,74.0,113.0,0.6,9.0,139.0,0.1,0.1,,9.0,30.0,0.3,0.0,0.7,2.0,0
NR006,"Asam payak, segar",100.0,100.0,65.1,135.0,0.8,0.4,32.1,10.0,1.6,60.0,39.0,5.7,0.0,,,,,,0.0,0.0,,,0.0,0
NR003,"Asan kandis, kering",100.0,100.0,32.2,261.0,0.9,1.6,63.3,5.0,2.0,192.0,657.0,4.4,26.0,341.0,0.4,0.3,,0.0,0.0,0.0,0.0,0.4,0.0,0
DP022,"Asinan Bogor, sayuran",100.0,100.0,78.0,98.0,3.9,2.6,14.8,0.5,0.7,314.0,17.0,1.2,483.0,,,,10.0,,146.0,0.3,,,5.0,0
FP027,"Ayam goreng Kentucky,sayap",100.0,100.0,44.7,297.0,35.9,15.2,1.6,0.0,2.6,103.0,227.0,4.4,807.0,248.4,0.1,1.4,22.0,,70.0,0.7,0.1,6.5,0.0,0
